SOURCE DOMAIN,TARGET DOMAIN
calcoastuniv.edu,ship.edu
cts.edu,gonzaga.edu
samford.edu,mscfs.edu
rollins.edu,fiu.edu
calpoly.edu,plattsburgh.edu
ggu.edu,sl.psu.edu
ugf.edu,mankato.msus.edu
ncsu.edu,calpoly.edu
sulross.edu,mursuky.edu
auburn.edu,csuohio.edu
dana.edu,alfredtech.edu
usuhs.mil,bradley.edu
jmu.edu,bethany.wvnet.edu
austinc.edu,eosc.osshe.edu
usu.edu,lasalle.edu
artic.edu,twu.edu
umm.maine.edu,monm.edu
wisc.edu,humboldt.edu
furman.edu,wmc.edu
edinboro.edu,stetson.edu
tcu.edu,edgewood.edu
naz.edu,carroll.edu
arbor.edu,pcci.edu
sunyit.edu,latech.edu
unf.edu,purdue.edu
wmc.edu,calstate.edu
hmc.edu,cmc.edu
indstate.edu,cmich.edu
uoknor.edu,fsu.edu
jhu.edu,temple.edu
cornell-iowa.edu,reed.edu
cameron.edu,udmercy.edu
uog.edu,uscolo.edu
middlebury.edu,harvard.edu
uca.edu,bennington.edu
ups.edu,college.antioch.edu
sewanee.edu,belmont.edu
bu.edu,vic.edu
fairmont.wvnet.edu,mcm.acu.edu
drexel.edu,fordham.edu
tufts.edu,pepperdine.edu
marion.ohio-state.edu,usma.edu
aurora.edu,emporia.edu
umfk.maine.edu,ucr.edu
grin.edu,isu.edu
simmons.edu,uamont.edu
american.edu,dbq.edu
cheyney.edu,uc.edu
csubak.edu,pcci.edu
utb.edu,slc.edu
wittenberg.edu,hood.edu
devrycols.edu,ius.indiana.edu
sapc.edu,pepperdine.edu
kean.edu,northern.edu
bridgeport.edu,uamont.edu
presby.edu,philacol.edu
aquinas.edu,austinc.edu
gatech.edu,pacificu.edu
usao.edu,uvm.edu
csudh.edu,wellesley.edu
csupomona.edu,taiu.edu
usd.edu,wiu.edu
pacificu.edu,isu.edu
drake.edu,sc.edu
stetson.edu,sl.psu.edu
mum.edu,newberry.edu
wittenberg.edu,ua.edu
clarke.edu,anselm.edu
tabor.edu,alasu.edu
usu.edu,northern.edu
mwsc.edu,lcsc.edu
slc.edu,bard.edu
wellesley.edu,chatham.edu
saintjoe.edu,fairmont.wvnet.edu
bethany.wvnet.edu,umm.maine.edu
bethany.edu,bennington.edu
ubalt.edu,owu.edu
wartburg.edu,lsc.vsc.edu
indstate.edu,mcm.acu.edu
ggu.edu,beaver.edu
usouthal.edu,davenport.edu
usma.edu,vsu.edu
csubak.edu,umt.edu
hamline.edu,uga.edu
utsa.edu,rmc.edu
huntcol.edu,olemiss.edu
summitunivofla.edu,arbor.edu
uor.edu,newhaven.edu
wwu.edu,bethany.wvnet.edu
heidelberg.edu,rose-hulman.edu
gmi.edu,mcrest.edu
unlv.edu,evansville.edu
usiu.edu,stolaf.edu
pembroke.edu,manc.edu
unm.edu,wvu.edu
amercoastuniv.edu,angelo.edu
ysu.edu,smumn.edu
mcm.acu.edu,usfca.edu
muc.edu,citadel.edu
fdu.edu,umf.maine.edu
gmu.edu,ipfw.indiana.edu
geneseo.edu,maine.edu
cameron.edu,cooper.edu
pitt.edu,uwsuper.edu
widener.edu,calstate.edu
farmingdale.edu,mtsu.edu
ubalt.edu,indwes.edu
trinity.edu,fortlewis.edu
uri.edu,marist.edu
presby.edu,northland.edu
auburn.edu,sbu.edu
uwm.edu,umassp.edu
fplc.edu,uvsc.edu
wcu.edu,drake.edu
llu.edu,rhodes.edu
cudenver.edu,fplc.edu
uvsc.edu,vancouver.wsu.edu
lyon.edu,byuh.edu
ucla.edu,pacificu.edu
eiu.edu,simons-rock.edu
uwec.edu,hamilton.edu
geneva.edu,uu.edu
psu.edu,famu.edu
taiu.edu,lacollege.edu
ggu.edu,vt.edu
chapman.edu,bsu.umd.edu
ohiou.edu,bbc.edu
colorado.edu,onu.edu
sbuniv.edu,svsu.edu
nps.navy.mil,cobleskill.edu
taiu.edu,ltu.edu
chesapeake.edu,unl.edu
muohio.edu,byuh.edu
biola.edu,knox.edu
upr.clu.edu,allencol.edu
bloomu.edu,shc.edu
austinc.edu,nyu.edu
nmu.edu,mckenna.edu
hamline.edu,southwest.msus.edu
sdstate.edu,niu.edu
utsystem.edu,valdosta.peachnet.edu
ume.maine.edu,whitman.edu
marist.edu,phillips.edu
hesston.edu,bsu.edu
wtamu.edu,uci.edu
wjc.edu,wpi.edu
uab.edu,wlsc.wvnet.edu
cooper.edu,louisville.edu
guilford.edu,lrc.edu
brenau.edu,platt.edu
pembroke.edu,mwsu.edu
winona.msus.edu,drury.edu
umbc.edu,wayne.edu
wisc.edu,uidaho.edu
csuchico.edu,muskingum.edu
champlain.edu,averett.edu
ecu.edu,csusb.edu
csbsju.edu,jsu.edu
scarolina.edu,clinch.edu
stedwards.edu,taiu.edu
wilkes.edu,wmc.car.md.us
sjc.edu,ccu.edu
newberry.edu,ltu.edu
uncc.edu,uthct.edu
gac.edu,wsc.mass.edu
esu.edu,sdsmt.edu
Peace.edu,curry.edu
ggu.edu,lsua.edu
ksu.edu,hiram.edu
beloit.edu,gbc.edu
bethany.wvnet.edu,valdosta.peachnet.edu
nnc.edu,und.nodak.edu
rmc.edu,uhh.hawaii.edu
colorado.edu,wmpenn.edu
american.edu,lcsc.edu
wts.edu,NCCU.edu
middlebury.edu,austinc.edu
butler.edu,mcu.edu
college.antioch.edu,pace.edu
holycross.edu,tulane.edu
uchicago.edu,alfred.edu
huntingdon.edu,subr.edu
smsu.edu,ipfw.indiana.edu
tabor.edu,bju.edu
mcneese.edu,lgc.peachnet.edu
bloomu.edu,utsa.edu
bhsu.edu,wheaton.edu
stvincent.edu,wsc.mass.edu
macalstr.edu,wsc.mass.edu
nnc.edu,bhsu.edu
lfc.edu,unomaha.edu
beloit.edu,etsu-tn.edu
ua.edu,iit.edu
twsu.edu,ltu.edu
uoknor.edu,woodburyu.edu
utep.edu,jtsa.edu
apu.edu,gasou.edu
luthersem.edu,bates.edu
simmons.edu,siue.edu
ltu.edu,dbq.edu
warren-wilson.edu,lemoyne.edu
scwww.ctstateu.edu,saintjoe.edu
sjcsf.edu,emmanuel.edu
jfku.edu,poly.edu
suu.edu,oberlin.edu
ipfw.indiana.edu,aurora.edu
uga.edu,oakland.edu
grace.edu,susqu.edu
central.edu,wisc.edu
mckenna.edu,whittier.edu
stockton.edu,sapc.edu
idbsu.edu,wellesley.edu
llu.edu,etsu.edu
fgcu.edu,smsu.edu
lunet.edu,panam.edu
uwplatt.edu,dsc.edu
strose.edu,bgu.edu
lvc.edu,aic.edu
wts.edu,shsu.edu
kwu.edu,hamline.edu
ssu.umd.edu,csopp.edu
slu.edu,dne.wvnet.edu
ferris.edu,olemiss.edu
vanderbilt.edu,uakron.edu
winona.msus.edu,humboldt.edu
campbellsvil.edu,valpo.edu
fresno.edu,stlcop.edu
wcsu.ctstateu.edu,juniata.edu
wittenberg.edu,lsc.vsc.edu
psu.edu,manc.edu
scwww.ctstateu.edu,mercer.peachnet.edu
ltu.edu,swmed.edu
greenleaf.edu,iwctx.edu
rmc.edu,utoledo.edu
trenton.edu,awc.cc.az.us
lacollege.edu,stjohns.edu
sdsu.edu,friends.edu
spu.edu,alverno.edu
umf.maine.edu,bgu.edu
andrews.edu,ceu.edu
alasu.edu,isu.edu
sbu.edu,dsc.edu
haskell.edu,butler.edu
linfield.edu,swac.edu
udayton.edu,tsufl.edu
umpi.maine.edu,cornell-iowa.edu
trincoll.edu,uga.edu
cnuas.edu,csp.edu
crk.umn.edu,vancouver.wsu.edu
smcvt.edu,pwu.com
uno.edu,stanford.edu
hanover.edu,lycoming.edu
mcad.edu,gsw.peachnet.edu
daemen.edu,rosary.edu
mursuky.edu,ukans.edu
kutztown.edu,oberlin.edu
umm.maine.edu,usc.edu
wmc.car.md.us,hofstra.edu
nps.navy.mil,rocky.edu
avila.edu,gannon.edu
nmhu.edu,vwc.edu
weber.edu,phillips.edu
chapman.edu,taiu.edu
ulaverne.edu,rockhurst.edu
rochester.edu,twu.edu
montana.edu,ilstu.edu
uhh.hawaii.edu,lunet.edu
umass.edu,usm.edu
champlain.edu,lemoyne.edu
jewell.edu,vjc.edu
uh.edu,rmwc.edu
wesleyan.edu,dwc.edu
wcsu.ctstateu.edu,yu.edu
gbc.edu,ccaa.edu
sdsu.edu,nich.edu
augustana.edu,babson.edu
rider.edu,woodburyu.edu
usu.edu,alma.edu
dwu.edu,tsufl.edu
hsc.edu,usmma.edu
umich.edu,uiu.edu
dsc.edu,bju.edu
ius.indiana.edu,eku.edu
mcm.acu.edu,lemoyne.edu
bethel.edu,gallaudet.edu
uiowa.edu,uml.edu
usu.edu,trenton.edu
luc.edu,wcslc.edu
wtamu.edu,mwc.edu
gmu.edu,fandm.edu
